 Molecules IDs (A, B) at every time frame where the angle H_{A}O_{A}O_{B} is less than 30 degree

 no. of trajectory at every 10 fs	molecule ID A	molecule ID B	distance O_{B}O_{A} (A)	distance H_{A}O_{B} (A)	Theta of H_{A}O_{A}O_{B} (degree)
          14          37          40   1.90956163       1.02248299       29.4257660    
          14          65          68   1.30686688       1.05835295       28.8646889    
          14          81          84   1.22779536       1.08050513       28.3786297    
          14          89          92   1.52430487       1.06616700       28.8946800    
          14         105         108   1.44468665       1.04108608       28.6338463    
          14         109         112  0.924952984       1.01317823       23.4507427    
          14         137         140   2.22890615       1.05470288       27.9898911    
          14         149         152   1.00804496       1.03340888       28.9007683    
          14         161         164   1.55431581       1.00448668       21.0944004    
          14         169         172   1.19855011       1.04762948       29.8010845    
          14         177         180   1.58145678       1.04483140       29.8451691    
          14         253         256  0.424158990       1.05253351       26.7945709    
          15           9          12   1.46130347       1.04064667       28.3208179    
          15          21          24  0.854207516       1.05991387       29.6599846    
          15          49          52   1.10835171       1.06240714       27.3700409    
          15          89          92   1.58175743       1.02440917       28.1501675    
          15         109         112  0.996559918       1.05689418       22.6668339    
          15         161         164   1.63554704       1.05596733       21.3508549    
          15         177         180   1.56937039       1.03107500       27.5909939    
          15         197         200   1.19293559       1.03449440       26.5751133    
          15         217         220   1.58070517       1.06682563       24.1790600    
          15         253         256  0.516419291       1.03085375       27.2519455    
          16           5           8   1.43848717      0.998871565       25.7977085    
          16          25          28   1.89054894       1.01854432       29.8230209    
          16          45          48   1.05068970       1.04588759       29.7465096    
          16          89          92   1.61280644       1.03188324       26.1843109    
          16         105         108   1.31418681       1.05778015       26.1862907    
          16         109         112   1.03647017       1.02592552       29.8101959    
          16         133         136   1.41425860       1.06004250       29.0655670    
          16         141         144   1.49817240       1.01102149       27.9596748    
          16         149         152  0.978393257       1.07700062       27.1148357    
          16         161         164   1.74174201       1.03690052       23.4941444    
          16         177         180   1.56217349       1.04339826       26.0366154    
          16         189         192  0.636872768      0.989580452       28.0501652    
          16         197         200   1.20588911       1.06450486       28.0724773    
          16         253         256  0.568953574       1.04723394       27.1098614    
          17           5           8   1.35739625       1.08227718       29.8734951    
          17           9          12   1.49497783       1.05768442       29.3554401    
          17          13          16  0.878691912       1.00099814       27.5886860    
          17          25          28   1.87700105       1.02236044       26.5944233    
          17          81          84   1.06358635       1.05495465       28.0568295    
          17          89          92   1.57493782       1.05250704       28.4963074    
          17         105         108   1.27781475       1.02888918       26.6118393    
          17         109         112   1.05812705       1.03649223       24.4418354    
          17         113         116   1.22511959       1.04766428       26.8647976    
          17         149         152  0.963305593       1.01444972       29.7631130    
          17         161         164   1.79149795       1.00941145       16.0522270    
          17         177         180   1.62408829       1.04378211       29.5227451    
          17         193         196   1.38609529       1.05830383       28.8106632    
          17         197         200   1.21759057       1.02949965       26.1098824    
          17         217         220   1.42190981       1.03910971       27.1029739    
          17         253         256  0.581216633       1.03682172       27.8153858    
          18           5           8   1.29694402       1.02287495       29.2796078    
          18          49          52   1.20969903       1.04620504       24.2429790    
          18          77          80   1.24503136       1.03693640       29.1074352    
          18          85          88   1.55586517       1.01734591       29.9356327    
          18          89          92   1.55204868       1.02126813       26.3420620    
          18         113         116   1.15855312       1.03489304       27.4347038    
          18         133         136   1.28824353       1.03592396       28.3245373    
          18         141         144   1.56735194       1.02955592       28.3193989    
          18         149         152   1.05688238       1.04880846       28.7335453    
          18         157         160  0.800336123       1.04822457       27.7257710    
          18         161         164   1.75708902       1.06215441       22.8484135    
          18         177         180   1.73922956       1.02684462       23.8368073    
          18         197         200   1.23251307       1.02812064       19.8720245    
          18         209         212   1.21024323       1.01323628       29.1373730    
          18         217         220   1.38277507       1.03084528       25.6080303    
          18         245         248  0.787712991       1.04196429       29.3037605    
          18         253         256  0.624005198       1.04772472       28.7916203    
          19           5           8   1.25221002       1.01105988       23.9076023    
          19          25          28   1.78830242      0.995698035       29.0248203    
          19          33          36   2.11667156       1.05142045       29.4876919    
          19          45          48   1.22064698       1.05604362       28.2064056    
          19          89          92   1.57647645       1.04708517       25.3227596    
          19         105         108   1.16640830       1.05058396       27.1806049    
          19         113         116   1.10730898       1.03797090       29.5764351    
          19         141         144   1.51402807       1.03311598       28.9309864    
          19         149         152   1.19047773       1.05807137       25.2558117    
          19         161         164   1.73212349       1.02282810       19.6913223    
          19         177         180   1.76867974       1.03735077       28.7939987    
          19         189         192  0.710913599       1.02636671       28.9795437    
          19         197         200   1.22458100       1.04768932       21.5170212    
          19         245         248  0.833844781       1.03666008       29.1445675    
          19         249         252   1.02387261       1.04261649       28.6937122    
          20           5           8   1.20881367       1.07195318       28.9796772    
          20           9          12   1.30018318       1.05930758       27.6792927    
          20          13          16  0.926692367       1.01011372       23.7720566    
          20          33          36   2.15739918      0.996818185       26.8178291    
          20          45          48   1.18933856       1.03202069       29.5562649    
          20          49          52   1.23696673       1.07084858       29.9950218    
          20          69          72   1.11748827       1.04083741       23.2197456    
          20          77          80   1.09171999       1.02629197       29.7271271    
          20          89          92   1.59348845       1.03701639       27.1618748    
          20         101         104   1.47208202       1.04984331       28.8128929    
          20         105         108   1.09536803       1.03492153       27.2213211    
          20         113         116   1.11630309       1.04097641       29.8139439    
          20         125         128   1.18588650       1.02900374       28.1911888    
          20         149         152   1.22122777       1.01631463       29.9358711    
          20         161         164   1.70859170       1.02461588       19.9743080    
          20         177         180   1.69443572       1.03028929       26.5840874    
          20         193         196   1.53003085       1.06096625       28.5322399    
          20         197         200   1.29755139       1.01758778       19.4228268    
          20         209         212   1.25275433       1.06950665       28.7970772    
          20         217         220   1.24391389       1.02342534       23.7259102    
          20         245         248  0.926524699       1.05338728       26.9470711    
          21           5           8   1.15722835       1.00163400       26.1281071    
          21           9          12   1.28353798       1.01821196       29.1123638    
          21          33          36   2.14442801       1.06901193       25.7574139    
          21          45          48   1.22451472       1.02813888       26.1453838    
          21          69          72   1.03552210       1.03025210       25.9666290    
          21          89          92   1.57074308       1.02290583       24.3208618    
          21         105         108   1.00822330       1.04055500       26.7405987    
          21         113         116   1.14873481       1.02504230       26.6370430    
          21         133         136   1.15822113       1.04073203       27.5545177    
          21         141         144   1.51967728       1.03372419       23.9741592    
          21         149         152   1.22732961       1.07333708       26.2452812    
          21         157         160  0.764544666       1.06343937       27.9699001    
          21         161         164   1.68602800       1.06328869       27.7085037    
          21         177         180   1.65603936       1.02979541       23.7757244    
          21         197         200   1.38213742       1.04049003       17.9332447    
          21         217         220   1.14561117       1.03169012       29.7709122    
          22           5           8   1.15566778       1.03326261       28.1768379    
          22           9          12   1.17805815       1.04360545       27.7117558    
          22          33          36   2.06283092       1.03036761       24.4280701    
          22          45          48   1.29091299       1.05632019       29.1372471    
          22          69          72  0.961011231       1.02095628       28.4588394    
          22          89          92   1.48615539       1.05197048       25.7112141    
          22         105         108  0.991126239       1.04997039       28.0594006    
          22         113         116   1.14108193       1.03166473       23.2947426    
          22         149         152   1.27133882       1.04670119       28.1963062    
          22         161         164   1.64104593       1.03186190       21.1217632    
          22         193         196   1.76268208       1.04230714       27.8837337    
          22         197         200   1.39991105       1.03684640       21.8948994    
          22         245         248   1.15444839       1.02753639       28.9694557    
          23           9          12   1.03774619       1.04757249       24.5046158    
          23          13          16  0.745137095       1.03960252       29.3461266    
          23          33          36   2.02644062       1.02008736       25.0793457    
          23          45          48   1.34288645       1.01523340       28.4610481    
          23          49          52   1.19373131       1.08201742       28.1290913    
          23          57          60  0.767923832       1.04057848       28.9607658    
          23          69          72  0.902232289       1.03917348       24.8406754    
          23          77          80   1.02325571       1.04215014       29.2165298    
          23          89          92   1.43284822       1.02912152       22.4739513    
          23         101         104   1.49610353       1.06368434       27.8397999    
          23         113         116   1.06032312       1.04100561       28.0218792    
          23         125         128   1.19596422       1.04576790       29.8863106    
          23         141         144   1.58094299       1.04811883       24.6779461    
          23         149         152   1.39704514       1.03019500       26.5631371    
          23         161         164   1.51224411       1.04154158       29.8107510    
          23         177         180   1.69686055       1.02353585       26.7309685    
          23         193         196   1.82412946       1.04362166       29.8105087    
          23         197         200   1.40471447       1.03438342       20.0423260    
          23         209         212   1.10288870       1.05386400       25.4358959    
          23         217         220   1.00154996       1.00413561       27.7691917    
          23         229         232   1.03211510       1.03497756       29.3875141    
          23         245         248   1.19355667       1.04895580       28.3025169    
          24           5           8   1.14285719       1.01973939       29.6996250    
          24           9          12  0.903574407       1.02025497       25.5097942    
          24          17          20   1.18327117      0.990661263       27.2722301    
          24          33          36   2.03968024       1.07607937       21.6560364    
          24          45          48   1.32351899       1.03791261       24.5912800    
          24          89          92   1.41393733       1.04158843       25.4730053    
          24         105         108  0.893914640       1.05488741       28.9569645    
          24         141         144   1.54057109       1.02563119       26.7862835    
          24         149         152   1.51483750       1.06353903       22.8865910    
          24         161         164   1.42817855       1.06024539       29.9196453    
          24         177         180   1.65970635       1.02902782       28.9469967    
          24         189         192   1.01433504       1.01015556       29.6253624    
          24         193         196   1.85720861       1.02833104       27.7325134    
          24         197         200   1.44817686       1.05159307       21.4856262    
          24         201         204   2.14637828       1.04557908       27.1842461    
          24         245         248   1.20977747       1.02446151       29.0112572    
          25           9          12  0.895018041       1.05904913       23.7980900    
          25          13          16  0.789811611       1.02296162       29.2592621    
          25          33          36   2.01029277       1.00779843       22.5451756    
          25          45          48   1.24222505       1.05424023       27.2803497    
          25          69          72  0.874545455       1.03604507       27.5455036    
          25          89          92   1.39820135       1.04582000       28.4088001    
          25          97         100   1.57975447       1.04149687       28.2103958    
          25         101         104   1.39891911       1.03329515       28.3373451    
          25         149         152   1.52537274       1.02231109       28.9329491    
          25         161         164   1.40298176       1.03343260       25.7250233    
          25         193         196   1.88203204       1.04947484       27.5956383    
          25         197         200   1.51013315       1.02784836       21.1660328    
          25         225         228   1.29450548       1.03274262       28.8642178    
          25         245         248   1.28590298       1.02170312       26.9730015    
          26           9          12  0.884572327       1.03274941       21.7977486    
          26          33          36   1.93864286       1.04605138       24.4609165    
          26          45          48   1.24896276       1.01559675       26.3818626    
          26          49          52   1.06245029       1.06003118       29.5745335    
          26          69          72  0.793775976       1.04526806       27.9290524    
          26          77          80   1.00360727       1.04271305       29.6356945    
          26          89          92   1.34273100       1.03175259       23.7216244    
          26         101         104   1.41425288       1.07154036       27.6590557    
          26         121         124   1.26530981       1.01828539       27.1596012    
          26         133         136  0.811760068       1.00411797       25.2921925    
          26         141         144   1.57253361       1.04004037       24.8672466    
          26         149         152   1.53358233       1.04019272       24.6781006    
          26         177         180   1.42989469       1.03782046       29.7396011    
          26         189         192   1.19971955       1.02749991       28.8248596    
          26         197         200   1.54320240       1.04362619       23.1003685    
          26         201         204   2.21714187       1.01123762       28.7601452    
          26         209         212   1.04986548       1.02859390       29.8215122    
          26         213         216   1.18114161       1.06553352       28.1183357    
          26         229         232  0.845248878       1.03655863       26.4874535    
          27           9          12  0.789512217       1.02652276       22.9151344    
          27          33          36   1.84559393       1.05764318       20.0583611    
          27          45          48   1.27445507       1.05557668       28.0032234    
          27          61          64   1.23152113       1.01795995       26.5069389    
          27          89          92   1.21578920       1.05936682       29.7375164    
          27         101         104   1.41232443       1.01059294       29.3302593    
          27         113         116  0.998236477       1.02442336       29.1132679    
